nation,cls,date,ab_br,ab_lower_br,ab_battles_sum,ab_battles_mean,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death
France,Aviation,2022-01-28,1.0 ~ 11.0,1.0,5083.0,114.6718384343704,71.17149124532756,3.8252921503049384,4.0110879401928,3.6569722604760964,3.4081546330906947
France,Aviation,2022-01-25,1.0 ~ 11.0,1.0,4982.0,111.23376632065913,70.40528904054598,3.8381774387796073,3.9841830590124445,3.6592091529506225,3.378823765556002
France,Aviation,2022-01-22,1.0 ~ 11.0,1.0,4861.0,107.03991683075206,70.21646986216828,3.916743468422135,4.055893849002263,3.673493108413906,3.352423369677021
France,Aviation,2022-01-19,1.0 ~ 11.0,1.0,4727.0,102.67352292302579,69.80887455045483,3.985603977152528,4.104491220647345,3.661157182145124,3.3225470700232704
France,Aviation,2022-01-16,1.0 ~ 11.0,1.0,4466.0,95.59071716460879,69.2956000895656,4.031054635020152,4.175812807881773,3.655069413345276,3.3684773846842813
France,Aviation,2022-01-13,1.0 ~ 11.0,1.0,4139.0,87.75979590193168,68.73820246436337,4.042002899251027,4.277028267697512,3.5839768059917856,3.352957236047355
France,Aviation,2022-01-10,1.0 ~ 11.0,1.0,3871.0,81.85349977242252,68.92061741152158,4.10583828468096,4.369754585378455,3.528276931025575,3.347747352105399
France,Aviation,2022-01-07,1.0 ~ 11.0,1.0,3699.0,78.28922553070973,67.76449310624494,4.104276831576102,4.398442822384428,3.579451203027845,3.397556096242228
France,Aviation,2022-01-04,1.0 ~ 11.0,1.0,3607.0,77.2314269872074,67.22863044080952,4.096113113390628,4.344685334072636,3.5389159966731354,3.458195176046576
France,Aviation,2022-01-01,1.0 ~ 11.0,1.0,3551.0,77.28122192273135,67.41158828499015,4.107026189805689,4.3008223035764575,3.563401858631371,3.4692509152351447
France,Aviation,2021-12-29,1.0 ~ 11.0,1.0,3499.0,76.60840512255201,67.56770505858816,4.090065733066591,4.232323521006002,3.5871620462989426,3.395535867390683
France,Aviation,2021-12-26,1.0 ~ 11.0,1.0,3471.0,76.12334444581636,68.1926476519735,4.094840103716508,4.172667819072313,3.7351800633823102,3.4300345721694034
France,Aviation,2021-12-23,1.0 ~ 11.0,1.0,3512.0,75.90045761470877,69.0875569476082,4.109897494305239,4.0372380410022775,3.805879840546697,3.476694191343963
France,Aviation,2021-12-20,1.0 ~ 11.0,1.0,3609.0,77.72220902769531,69.21524799113328,4.185912995289554,3.9786145746744253,3.7687004710446113,3.4498531449154886
France,Aviation,2021-12-17,1.0 ~ 11.0,1.0,3723.0,80.22700587084148,69.4569406392694,4.267977437550363,3.9833467633628796,3.758987375772227,3.4296803652968033
France,Aviation,2021-12-14,1.0 ~ 11.0,1.0,4225.0,89.60934291349676,68.87775857988167,4.46713372781065,3.878456804733728,3.7049988165680476,3.3773562130177517
France,Aviation,2021-12-11,1.0 ~ 11.0,1.0,4679.0,99.54772590805932,69.6080658260312,4.4811241718315875,3.7332122248343653,3.7657619149390897,3.3610493695234025
France,Aviation,2021-12-08,1.0 ~ 11.0,1.0,5225.0,110.89073319662793,72.49341626794259,4.581226794258374,3.6152688995215314,3.8569148325358857,3.367724401913875
France,Aviation,2021-12-05,1.0 ~ 11.0,1.0,5843.0,123.76316552977514,74.2006281020024,4.506482971076502,3.493297963374979,3.9366061954475438,3.3539808317645043
France,Aviation,2021-11-30,1.0 ~ 11.0,1.0,7046.0,149.0913432815647,75.58891853533919,4.26742407039455,3.3867839909168325,4.022074936133977,3.2973162077774623
France,Aviation,2021-11-27,1.0 ~ 11.0,1.0,8014.0,170.94404702484937,76.27984402295981,4.029835288245571,3.3285550286997756,3.9809732967307214,3.2388532568005988
France,Aviation,2021-11-24,1.0 ~ 11.0,1.0,8810.0,191.1032130695638,76.13160499432462,3.8347332576617483,3.3038501702610668,3.86799659477866,3.1652519863791144
France,Aviation,2021-11-21,1.0 ~ 11.0,1.0,9551.0,209.78133329344723,75.78395665375353,3.631438592817506,3.241525494712595,3.7417600251282583,3.089950790493142
France,Aviation,2021-11-18,1.0 ~ 11.0,1.0,10213.0,225.80428445538598,75.72224713600315,3.4947057671595028,3.204410065602663,3.6481308136688533,3.0235298149417407
France,Aviation,2021-11-15,1.0 ~ 11.0,1.0,10674.0,238.86873198782976,75.87684373243395,3.3897545437511716,3.164657110736369,3.5604178377365563,2.965210792580101
France,Aviation,2021-11-12,1.0 ~ 11.0,1.0,11023.0,250.20198761896123,75.90272248934046,3.268644652091082,3.126713235961172,3.4475151955003174,2.9234337294747346
France,Aviation,2021-11-09,1.0 ~ 11.0,1.0,11111.0,255.24843119859767,74.8830258302583,3.129069390693907,3.042394023940239,3.343091530915309,2.85369633696337
France,Aviation,2021-11-06,1.0 ~ 11.0,1.0,10957.0,255.04767793582707,74.04234735785343,3.0165099936113897,3.0389194122478784,3.2374947522131974,2.8047914575157438
France,Aviation,2021-11-03,1.0 ~ 11.0,1.0,10576.0,247.52977631294578,73.0604273827534,2.9869213313161875,3.0687433812405445,3.194677571860817,2.778696104387292
France,Aviation,2021-10-27,1.0 ~ 11.0,1.0,8496.0,203.6324659783876,71.27661487758945,3.0679825800376648,3.240743879472693,3.1006862052730693,2.706338276836158
France,Aviation,2021-10-24,1.0 ~ 11.0,1.0,7623.0,182.18478351854972,71.33837203200841,3.0969605142332415,3.2971179325724784,3.1449770431588613,2.732400629673357
France,Aviation,2021-10-21,1.0 ~ 11.0,1.0,6982.0,166.2154983563176,71.50767831566887,3.157096820395303,3.3601360641649958,3.28072328845603,2.7908135204812377
France,Aviation,2021-10-18,1.0 ~ 11.0,1.0,6420.0,152.09899347277855,71.29520404984424,3.2152725856697817,3.3672788161993767,3.3921261682242996,2.865760124610592
France,Aviation,2021-10-15,1.0 ~ 11.0,1.0,5925.0,142.85560136628493,70.31920843881856,3.2493350210970466,3.2785333333333333,3.394411814345992,2.9235966244725744
France,Aviation,2021-10-12,1.0 ~ 11.0,1.0,5405.0,131.6669327342408,68.72956891766883,3.203167437557817,3.242270120259019,3.584756706753006,3.115694727104533
France,Aviation,2021-10-09,1.0 ~ 11.0,1.0,5159.0,126.74370079103556,68.6111223105253,3.178761387865865,3.1590502035278156,3.738968792401628,3.20438263229308
France,Aviation,2021-10-05,1.0 ~ 11.0,1.0,5067.0,129.459481519073,69.02488652062364,3.1158673771462406,2.9814722715610817,4.097604104993092,3.3973041247286364
France,Aviation,2021-10-02,1.0 ~ 11.0,1.0,5201.0,137.26059320094123,69.04261872716785,2.9875850797923476,2.8070986348779083,4.261157469717362,3.463812728321477
France,Aviation,2021-09-29,1.0 ~ 11.0,1.0,5465.0,149.40309066352984,68.4111747483989,2.849185727355901,2.6441372369624885,4.381377859103385,3.483032021957914
France,Aviation,2021-09-26,1.0 ~ 11.0,1.0,6251.0,174.29631411355138,68.46312749960006,2.753394656854903,2.671710126379779,4.426200607902736,3.534632858742601
France,Aviation,2021-09-23,1.0 ~ 11.0,1.0,6441.0,184.7972675050458,68.16242819437976,2.7408523521192363,2.6673699736065832,4.480933084924701,3.5138239403819282
France,Aviation,2021-09-20,1.0 ~ 11.0,1.0,6536.0,189.16542628373261,67.24572368421053,2.730570685434517,2.701741126070992,4.522451040391678,3.5160036719706236
France,Aviation,2021-09-17,1.0 ~ 11.0,1.0,6577.0,191.87548020880848,67.81231108408087,2.79336171506766,2.8108909837311846,4.61629770412042,3.559703512239623
France,Aviation,2021-09-14,1.0 ~ 11.0,1.0,6574.0,191.6788778304142,68.79323547307575,2.907963188317615,2.9775935503498627,4.636014602981442,3.6235001521143895
France,Aviation,2021-09-11,1.0 ~ 11.0,1.0,6572.0,188.03884625974553,68.92557516737675,3.0947291539866097,3.2311990261716375,4.6009738283627515,3.603088861838101
France,Aviation,2021-09-08,1.0 ~ 11.0,1.0,6481.0,179.49205406279162,69.6928668415368,3.259680604844931,3.5234902021293006,4.693811140256133,3.780965900324024
France,Aviation,2021-09-05,1.0 ~ 11.0,1.0,6284.0,166.2640288260435,68.48789465308721,3.5100366008911523,3.9234818586887337,4.734548058561426,3.8899824952259703
France,Aviation,2021-09-02,1.0 ~ 11.0,1.0,6084.0,154.26181123008047,68.57629520052598,3.8560700197238655,4.371438198553584,4.689120644312952,3.8883431952662724
France,Aviation,2021-08-30,1.0 ~ 11.0,1.0,5882.0,152.16482347274172,68.81935056103366,4.173092485549133,4.808760625637539,4.603741924515471,3.8835787147228835
France,Aviation,2021-08-27,1.0 ~ 11.0,1.0,5769.0,152.60838389091117,68.43878315132605,4.520906569596117,5.288325533021321,4.384695787831514,3.861263650546022
France,Aviation,2021-08-24,1.0 ~ 11.0,1.0,5703.0,155.48400695540357,69.41973522707346,4.820256005611081,5.72576889356479,4.304152200596178,3.75493599859723
France,Aviation,2021-08-21,1.0 ~ 11.0,1.0,5750.0,162.56726086956522,69.92984695652173,5.049633043478261,6.067266086956521,4.124608695652174,3.6636817391304355
France,Aviation,2021-08-18,1.0 ~ 11.0,1.0,5825.0,171.27621602288986,70.00922918454935,5.162432618025751,6.362403433476395,3.9311999999999996,3.5888
France,Aviation,2021-08-15,1.0 ~ 11.0,1.0,5929.0,183.9859869567662,70.3974582560297,5.364194636532299,6.65787147917018,3.853558778883454,3.527387417777028
France,Aviation,2021-08-12,1.0 ~ 11.0,1.0,6015.0,191.8724923801607,70.86478470490441,5.444575228595178,6.755057356608479,3.9005968412302576,3.554139650872818
France,Aviation,2021-08-09,1.0 ~ 11.0,1.0,6097.0,197.0299286534361,71.38637034607184,5.41484992619321,6.744490733147448,3.949814662948991,3.549981958340167
France,Aviation,2021-08-06,1.0 ~ 11.0,1.0,6217.0,200.17276821618145,71.75430110986005,5.276762103908638,6.6072060479330865,3.975428663342448,3.567265562168248
France,Aviation,2021-08-03,1.0 ~ 11.0,1.0,6329.0,198.00525754463578,72.47175225154052,5.121952915152473,6.414555221993995,4.081393585084532,3.6719892558066043
France,Aviation,2021-07-31,1.0 ~ 11.0,1.0,6432.0,196.77472403606964,72.83947761194031,5.009337686567163,6.279452736318408,4.139536691542289,3.7480705845771145
France,Aviation,2021-07-28,1.0 ~ 11.0,1.0,6544.0,196.78935284229829,73.9745247555012,4.912525977995109,6.108589547677262,4.331760391198044,3.8476298899755506
France,Aviation,2021-07-26,1.0 ~ 11.0,1.0,6691.0,196.22625541772533,74.4990046330892,4.770539530712897,5.859098789418622,4.3847227619189955,3.949674189209386
France,Aviation,2021-07-23,1.0 ~ 11.0,1.0,6807.0,197.65938249840852,74.76694872924931,4.608570589099456,5.681063610988689,4.420668429557809,4.079216982517996
France,Aviation,2021-07-20,1.0 ~ 11.0,1.0,6898.0,195.39603508263264,74.94156567120905,4.446948390837925,5.530988692374602,4.417519570890113,4.156538126993332
France,Aviation,2021-07-17,1.0 ~ 11.0,1.0,6966.0,193.06264953584073,74.75683606086707,4.276932242319838,5.3883232845248346,4.442718920470858,4.257098765432099
France,Aviation,2021-07-14,1.0 ~ 11.0,1.0,7103.0,192.58953493828895,74.5631873856117,4.094441785161199,5.227351823173307,4.4504716317049136,4.355587779811348
