name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
mig_29_9_13,149.0,56.45,2.24,2.65,0.37,0.46,1527.0,56.11,1.89,2.13,0.13,0.14,504.0,,15.59,1.98,,,MiG-29,MiG-29,USSR,Aviation,12.7,12.7,12.7,4396.0,12698.0,14977.0,False,250.0,90.0,250.0,320.0,250.0,490.0
sea_harrier_fa2,45.0,25.0,2.54,2.75,,,364.0,59.51,1.19,1.59,,,14.0,,,,,,Sea_Harrier_FA_2,Sea_Harrier_FA_2,Britain,Aviation,13.0,13.0,13.0,4393.0,12691.0,14967.0,False,250.0,90.0,250.0,320.0,250.0,490.0
f_16a_block_15_adf,275.0,45.07,0.9,1.03,0.22,0.25,108.0,89.58,1.83,1.76,,,5.0,,,,,,F-16A_ADF,F-16A_ADF,USA,Aviation,13.0,13.0,13.0,4424.0,12771.0,15039.0,False,256.0,90.0,256.0,320.0,256.0,500.0
f_16a_block_10,190.0,51.33,0.61,0.69,2.54,2.5,711.0,56.86,0.91,0.95,0.4,0.42,206.0,100.0,9.31,2.84,0.19,0.09,F-16A,F-16A,USA,Aviation,12.7,12.7,12.7,4388.0,12677.0,14950.0,False,250.0,90.0,250.0,320.0,250.0,490.0
f-4ej_kai,55.0,50.0,3.47,5.13,0.2,0.13,532.0,58.36,2.0,2.55,0.21,0.25,53.0,,5.0,1.33,,,F-4EJ_Kai_Phantom_II,F-4EJ_Kai_Phantom_II,Japan,Aviation,12.0,12.3,12.3,4094.0,12358.0,14080.0,False,250.0,100.0,250.0,320.0,250.0,540.0
tornado_ids_de_mfg,42.0,71.43,4.64,8.0,7.69,14.5,201.0,59.42,0.31,0.38,0.76,0.97,16.0,,,,,,◄Tornado_IDS_MFG,Tornado_IDS_MFG_(Germany),Germany,Aviation,11.0,11.3,11.3,5043.0,11914.0,15289.0,False,250.0,90.0,250.0,330.0,250.0,600.0
f_16a_block_20_mlu,14.0,100.0,2.29,2.29,3.29,3.29,394.0,68.64,1.3,1.14,0.49,0.47,19.0,,,1.69,,,F-16A_MLU_(China),F-16A_MLU_(China),China,Aviation,13.0,13.0,13.0,4388.0,12677.0,14950.0,False,250.0,90.0,250.0,320.0,250.0,490.0
f_14a_iriaf,79.0,91.94,8.18,6.78,0.29,0.38,11658.0,54.78,1.6,1.94,,,218.0,100.0,9.04,1.84,,,F-14A_IRIAF,F-14A_IRIAF_(USA),USA,Aviation,12.3,12.3,12.3,4385.0,12670.0,14942.0,False,250.0,90.0,250.0,320.0,250.0,490.0
saab_ja37d,,,,,,,217.0,66.75,2.3,3.07,0.18,0.22,1.0,,,,,,JA37D,JA37D,Sweden,Aviation,12.3,12.0,12.0,4223.0,12363.0,14084.0,False,250.0,100.0,250.0,320.0,250.0,540.0
jf_17,,,,,,,296.0,72.04,1.51,1.78,0.31,0.38,,,,,,,JF-17,JF-17,China,Aviation,13.3,13.3,13.3,5633.0,12696.0,17520.0,False,256.0,80.0,256.0,290.0,256.0,530.0
j_10a,,,,,,,1212.0,64.24,2.01,3.04,0.04,0.07,14.0,,,5.14,,,J-10A,J-10A,China,Aviation,13.7,13.7,13.7,4430.0,12786.0,15056.0,False,256.0,90.0,256.0,320.0,256.0,500.0
f_16c_block_40_barak_2,,,,,,,62.0,58.01,0.93,1.39,0.15,0.24,,,,,,,F-16C_Barak_II,F-16C_Barak_II,Israel,Aviation,13.7,13.7,13.7,4430.0,12786.0,15056.0,False,256.0,90.0,256.0,320.0,256.0,500.0
tornado_ids_de_assta1,5.0,100.0,1.0,1.0,11.0,11.0,228.0,69.28,0.06,0.08,1.16,1.33,10.0,,,1.0,,,◄Tornado_IDS_ASSTA1,Tornado_IDS_ASSTA1_(Germany),Germany,Aviation,11.7,11.7,11.7,4395.0,11116.0,16938.0,False,250.0,90.0,250.0,340.0,250.0,600.0
mirage_2000d_r1,10.0,,,1.0,,3.0,155.0,90.74,0.59,1.29,3.44,6.98,,,,,,,Mirage_2000D-R1,Mirage_2000D-R1,France,Aviation,12.0,12.3,12.3,4403.0,11135.0,15786.0,False,250.0,90.0,250.0,340.0,250.0,600.0
f_16a_block_10_iaf,,,,,,,42.0,43.33,0.78,1.0,0.83,1.23,,,,,,,Netz,Netz,Israel,Aviation,13.0,13.0,13.0,4388.0,12677.0,14950.0,False,250.0,90.0,250.0,320.0,250.0,490.0
tornado_ids_it_mod95,,,,,,,86.0,76.92,0.07,0.07,2.19,2.27,23.0,,,,,,Tornado_IDS_(1995),Tornado_IDS_(1995)_(Italy),Italy,Aviation,11.7,11.7,11.7,4403.0,11134.0,15785.0,False,250.0,90.0,250.0,340.0,250.0,600.0
tornado_gr1,140.0,80.12,0.46,0.68,6.61,9.5,124.0,48.39,0.1,0.17,1.86,2.86,41.0,,,,,0.33,Tornado_GR.1,Tornado_GR.1,Britain,Aviation,11.7,11.7,11.7,4434.0,11219.0,15848.0,False,256.0,90.0,256.0,350.0,256.0,600.0
f_16aj,,,,,,,600.0,59.94,1.2,1.25,0.35,0.36,84.0,,,1.13,,,F-16AJ,F-16AJ,Japan,Aviation,13.0,13.0,13.0,4388.0,12677.0,14950.0,False,250.0,90.0,250.0,320.0,250.0,490.0
mig_29_9_12_germany,30.0,,,1.0,,,984.0,57.39,1.31,1.55,0.02,0.02,170.0,,,2.31,,,◊MiG-29,MiG-29_(Germany),Germany,Aviation,12.7,12.7,12.7,4396.0,12698.0,14977.0,False,250.0,90.0,250.0,320.0,250.0,490.0
f-4e_kurnass_2000,,,,,,,182.0,79.03,1.93,2.04,2.32,2.45,10.0,,,,,4.0,Kurnass_2000,Kurnass_2000,Israel,Aviation,12.0,12.3,12.0,4094.0,12042.0,13077.0,False,250.0,100.0,250.0,320.0,250.0,600.0
yak_141,40.0,61.54,1.58,2.92,0.15,0.15,766.0,64.53,1.63,1.88,0.04,0.05,151.0,,20.38,3.01,0.06,,Yak-141,Yak-141,USSR,Aviation,12.7,12.7,12.7,4393.0,12693.0,14969.0,False,250.0,90.0,250.0,320.0,250.0,490.0
tornado_f3,112.0,57.28,1.98,2.42,0.19,0.28,461.0,82.2,4.66,6.32,0.45,0.73,45.0,100.0,11.29,7.24,,,Tornado_F.3,Tornado_F.3,Britain,Aviation,12.0,12.0,12.0,4091.0,12031.0,14066.0,False,250.0,100.0,250.0,320.0,250.0,540.0
f_14b,68.0,64.52,0.98,1.15,0.98,1.63,2736.0,60.34,1.95,2.3,0.11,0.13,508.0,100.0,19.28,2.99,,,F-14B,F-14B,USA,Aviation,12.7,12.7,12.7,4432.0,12793.0,15063.0,False,256.0,90.0,256.0,320.0,256.0,500.0
mirage_2000_5f,20.0,,,,,,4524.0,69.58,2.15,2.72,0.1,0.12,221.0,,,2.23,,,Mirage_2000-5F,Mirage_2000-5F,France,Aviation,13.7,13.7,13.7,4422.0,12765.0,15031.0,False,256.0,90.0,256.0,320.0,256.0,500.0
j_8f,29.0,100.0,7.29,5.1,0.29,0.28,1102.0,55.41,1.8,1.96,0.01,0.01,186.0,,,1.57,,,J-8F,J-8F,China,Aviation,13.0,13.0,13.0,4225.0,12369.0,14091.0,False,250.0,100.0,250.0,320.0,250.0,540.0
tornado_adv,15.0,,,,,,164.0,81.98,3.03,3.83,0.05,0.07,35.0,,,5.8,,,Tornado_ADV,Tornado_ADV,Italy,Aviation,12.0,12.0,12.0,4091.0,12031.0,13064.0,False,250.0,100.0,250.0,320.0,250.0,600.0
mig_29smt_9_19,759.0,77.59,4.93,5.72,0.34,0.39,3047.0,58.88,1.51,1.74,0.06,0.06,454.0,41.34,6.22,1.62,0.15,0.05,MiG-29SMT,MiG-29SMT,USSR,Aviation,13.3,13.3,13.3,4425.0,12775.0,15043.0,False,256.0,90.0,256.0,320.0,256.0,500.0
f_16c_block_50,1635.0,72.76,3.34,3.49,0.44,0.47,5697.0,56.39,1.48,1.55,0.32,0.32,955.0,88.0,10.61,1.87,0.6,0.12,F-16C,F-16C,USA,Aviation,13.7,13.7,13.7,4430.0,12786.0,15056.0,False,256.0,90.0,256.0,320.0,256.0,500.0
av_8b_plus_italy,15.0,100.0,4.0,4.0,2.0,2.0,543.0,66.93,1.34,2.08,1.51,2.34,96.0,,,2.89,,0.27,AV-8B_Plus,AV-8B_Plus_(Italy),Italy,Aviation,13.0,13.0,13.0,5635.0,11673.0,17076.0,False,256.0,80.0,256.0,320.0,256.0,600.0
f_16d_block_40_barak_2,15.0,100.0,2.0,4.07,1.0,2.87,544.0,57.45,1.94,1.92,0.13,0.14,88.0,100.0,9.67,1.94,1.0,0.44,Barak_II,F-16D_Barak_II,Israel,Aviation,13.7,13.7,13.7,4392.0,12691.0,14969.0,False,250.0,90.0,250.0,320.0,250.0,490.0
f_14a_early,145.0,68.42,1.43,1.78,1.14,1.41,3931.0,60.24,1.68,1.9,0.07,0.07,115.0,100.0,7.38,3.03,,,F-14A_Early,F-14A_Early,USA,Aviation,12.3,12.3,12.3,4218.0,12348.0,14067.0,False,250.0,100.0,250.0,320.0,250.0,540.0
mig_29_9_12g,92.0,29.17,4.77,2.77,,,2022.0,63.67,1.64,2.15,0.04,0.05,152.0,,,2.34,,,◄MiG-29G,MiG-29,USSR,Aviation,12.7,12.7,12.7,4396.0,12698.0,14977.0,False,250.0,90.0,250.0,320.0,250.0,490.0
jh_7a,40.0,100.0,4.0,4.18,4.29,2.73,458.0,61.8,0.63,0.74,2.15,2.73,73.0,,0.42,0.04,1.0,0.22,JH-7A,JH-7A,China,Aviation,12.0,12.3,12.3,4403.0,11138.0,15790.0,False,250.0,90.0,250.0,340.0,250.0,600.0
f_15a,736.0,60.92,1.64,2.04,0.66,0.82,1320.0,54.27,1.71,1.76,0.04,0.04,113.0,100.0,6.0,2.14,,,F-15A,F-15A,USA,Aviation,13.0,13.0,13.0,4430.0,12786.0,15056.0,False,256.0,90.0,256.0,320.0,256.0,500.0
mirage_2000c_s4,18.0,83.33,8.3,2.46,1.0,0.1,2270.0,61.35,1.66,2.18,0.09,0.11,188.0,,,2.66,,,Mirage_2000C-S4,Mirage_2000C-S4,France,Aviation,12.0,12.3,12.3,4096.0,12363.0,14084.0,False,250.0,100.0,250.0,320.0,250.0,540.0
su_27,551.0,61.48,2.94,3.02,0.32,0.33,1857.0,56.02,1.75,1.88,0.01,0.01,139.0,,5.1,2.04,,,Su-27,Su-27,USSR,Aviation,13.3,13.3,13.3,4432.0,12794.0,15065.0,False,256.0,90.0,256.0,320.0,256.0,500.0
saab_jas39a,14.0,100.0,3.0,2.29,,,1359.0,62.44,1.62,2.24,0.39,0.53,102.0,,,3.96,,,JAS39A,JAS39A,Sweden,Aviation,13.0,13.0,13.0,4421.0,12762.0,15028.0,False,256.0,90.0,256.0,320.0,256.0,500.0
mirage_4000,10.0,,,3.0,,,539.0,64.58,2.09,2.62,0.25,0.31,33.0,,,6.3,,,Mirage_4000,Mirage_4000,France,Aviation,13.0,13.0,13.0,4391.0,12685.0,14960.0,False,250.0,90.0,250.0,320.0,250.0,490.0
f_15j,,,,,,,977.0,56.54,2.1,2.46,0.05,0.07,144.0,,,3.19,,,F-15J,F-15J,Japan,Aviation,13.0,13.0,13.0,4430.0,12786.0,15056.0,False,256.0,90.0,256.0,320.0,256.0,500.0
saab_jas39c_south_africa,150.0,55.36,2.82,2.79,0.73,0.67,825.0,69.2,2.06,2.47,0.1,0.12,61.0,100.0,11.0,1.68,,,JAS39C,JAS39C,Sweden,Aviation,13.7,13.7,13.7,4457.0,12826.0,15115.0,False,262.0,90.0,262.0,320.0,262.0,500.0
f_15a_iaf,1.0,,,,,,62.0,66.22,2.63,2.68,0.18,0.19,7.0,,,0.75,,,Baz,Baz,Israel,Aviation,13.0,13.0,13.0,4430.0,12786.0,15056.0,False,256.0,90.0,256.0,320.0,256.0,500.0
j_11,,,,,,,480.0,46.8,1.63,1.55,0.07,0.06,11.0,,,0.88,,,J-11,J-11,China,Aviation,13.3,13.3,13.3,4432.0,12794.0,15065.0,False,256.0,90.0,256.0,320.0,256.0,500.0
harrier_gr7,100.0,45.24,1.67,1.76,2.64,2.78,190.0,49.12,1.61,2.08,1.11,1.55,10.0,,,,,,Harrier_GR.7,Harrier_GR.7,Britain,Aviation,13.0,12.3,12.3,4433.0,11586.0,15302.0,False,250.0,90.0,250.0,310.0,250.0,600.0
mirage_2000c_s5,10.0,,,,,,1210.0,64.64,2.32,3.11,0.12,0.17,123.0,,,2.88,,,Mirage_2000C-S5,Mirage_2000C-S5,France,Aviation,12.0,12.3,12.3,4091.0,12349.0,14068.0,False,250.0,100.0,250.0,320.0,250.0,540.0
f_20a,,,,,,,445.0,47.84,1.3,1.16,0.24,0.26,78.0,100.0,2.0,1.0,1.0,0.49,F-20A,F-20A,USA,Aviation,12.7,12.7,12.7,2275.0,6411.0,7527.0,True,500.0,180.0,500.0,640.0,500.0,1000.0
su_25sm3,27.0,100.0,,,4.44,3.0,936.0,77.45,0.1,0.12,2.9,3.58,61.0,,,0.26,,4.3,Su-25SM3,Su-25SM3,USSR,Aviation,12.3,12.3,12.3,4429.0,11574.0,16961.0,False,250.0,90.0,250.0,310.0,250.0,600.0
mig_23mf_hungary,35.0,53.13,1.0,1.91,,,14.0,50.0,0.79,1.57,,,20.0,,,1.2,,,◔MiG-23MF,MiG-23M,USSR,Aviation,11.3,11.3,11.3,3981.0,11688.0,11938.0,False,238.0,100.0,238.0,310.0,238.0,600.0
mig-21_mf_hungary,,,,,,,83.0,100.0,3.4,3.21,0.5,0.93,1.0,,,1.0,,,◔MiG-21MF,MiG-21F-13,USSR,Aviation,8.7,9.3,9.7,4692.0,13679.0,13721.0,False,226.0,130.0,226.0,380.0,226.0,600.0
su_22m3_hungary,16.0,50.0,0.5,1.0,0.5,1.0,10.0,100.0,,,,,11.0,,,3.0,,,◔Su-22M3,Su-22M3,USSR,Aviation,11.7,11.3,11.0,4707.0,12049.0,14244.0,False,232.0,80.0,232.0,300.0,232.0,600.0
f-4f,,,,,,,40.0,90.63,0.19,0.29,0.11,0.18,31.0,,,,,,◄F-4F_Early,F-14A_Early,USA,Aviation,12.3,12.3,12.3,4218.0,12348.0,14067.0,False,250.0,100.0,250.0,320.0,250.0,540.0
mig-21_bis_sau_hungary,35.0,53.13,1.0,1.0,,,113.0,58.71,1.05,1.23,0.86,0.93,46.0,,,2.55,,,◔MiG-21bis-SAU,MiG-21bis,USSR,Aviation,11.0,11.3,11.3,4092.0,11710.0,11961.0,False,238.0,110.0,238.0,310.0,238.0,600.0
mig-21_mf,24.0,57.69,1.38,2.46,,,494.0,54.49,1.29,1.69,0.14,0.2,27.0,,,2.34,,,◊MiG-21MF,MiG-21F-13,USSR,Aviation,8.7,9.3,9.7,4692.0,13679.0,13721.0,False,226.0,130.0,226.0,380.0,226.0,600.0
mig_23m,34.0,69.57,1.39,1.91,0.39,0.39,210.0,53.01,0.53,0.65,0.01,0.02,31.0,,,1.81,,,MiG-23M,MiG-23M,USSR,Aviation,11.3,11.3,11.3,3981.0,11688.0,11938.0,False,238.0,100.0,238.0,310.0,238.0,600.0
mig_21_bis_finland,,,,,,,293.0,59.44,0.94,1.4,0.14,0.17,28.0,,,2.17,,,MiG-21bis,MiG-21bis,USSR,Aviation,11.0,11.3,11.3,4092.0,11710.0,11961.0,False,238.0,110.0,238.0,310.0,238.0,600.0
f-5c,87.0,88.64,4.14,4.44,1.29,1.09,1796.0,48.51,1.19,1.42,0.7,0.84,75.0,100.0,7.33,6.15,,,F-5C,F-5C,USA,Aviation,10.3,11.0,10.7,2147.0,6698.0,6208.0,True,464.0,260.0,464.0,680.0,464.0,1200.0
j_7e,46.0,100.0,5.67,5.9,0.17,0.25,3076.0,75.04,2.41,5.43,0.27,0.59,147.0,,,4.54,,,J-7E,J-7E,China,Aviation,10.7,11.0,11.0,3987.0,11707.0,11958.0,False,238.0,100.0,238.0,310.0,238.0,600.0
mig-21_smt,31.0,,2.6,1.91,,,872.0,53.31,1.24,1.34,0.08,0.09,23.0,,,1.71,,,MiG-21SMT,MiG-21SMT,USSR,Aviation,10.3,10.7,11.0,4277.0,13551.0,11822.0,False,232.0,130.0,232.0,340.0,232.0,600.0
f-5e,83.0,77.78,1.93,2.65,1.13,1.6,1382.0,55.3,1.83,1.94,0.72,0.77,196.0,30.33,5.47,1.61,0.85,0.28,F-5E,F-5E,USA,Aviation,11.3,11.0,11.3,3988.0,12403.0,11957.0,False,238.0,100.0,238.0,320.0,238.0,600.0
f-4e,218.0,57.27,1.96,2.48,0.36,0.54,2175.0,57.18,1.17,1.37,0.77,0.88,674.0,100.0,32.22,1.08,4.5,0.07,F-4E_Phantom_II,F-4E_Phantom_II,USA,Aviation,11.3,11.3,11.0,4044.0,11933.0,12333.0,False,244.0,100.0,244.0,320.0,244.0,600.0
f-4f_late,15.0,,,,,,808.0,55.68,0.72,0.69,1.12,1.07,271.0,100.0,0.5,0.01,,,◄F-4F,F4F-3,USA,Aviation,2.7,2.3,3.0,627.0,1255.0,1830.0,False,118.0,30.0,118.0,80.0,118.0,150.0
q_5l,,,,,,,415.0,58.99,0.38,0.37,3.27,3.29,,,,,,,Q-5L,Q-5L,China,Aviation,10.7,9.3,10.7,4817.0,13054.0,14454.0,False,232.0,80.0,232.0,320.0,232.0,600.0
amx_a_1a_brazil,61.0,,5.05,2.08,0.63,0.54,364.0,52.91,0.87,1.11,1.58,2.05,23.0,,,0.02,,0.12,AMX_A-1A,AMX_A-1A,Italy,Aviation,11.3,11.3,11.3,2441.0,6249.0,7210.0,True,476.0,160.0,476.0,620.0,476.0,1200.0
saab_ja37,6.0,100.0,3.0,3.0,,,1185.0,54.09,1.54,2.05,0.03,0.05,81.0,,,2.56,,,JA37C,JA37C,Sweden,Aviation,11.0,11.3,11.3,4170.0,11927.0,12227.0,False,244.0,120.0,244.0,320.0,244.0,600.0
mirage_5ba,14.0,,,,,,13.0,42.86,0.57,0.57,,,,,,,,,Mirage_5BA,Mirage_5F,France,Aviation,10.3,10.0,10.0,4154.0,15078.0,13936.0,False,232.0,120.0,232.0,380.0,232.0,600.0
f-104g_belgium,14.0,,,,,,47.0,65.0,2.08,3.93,0.46,1.27,,,,,,,F-104G,F-104A,USA,Aviation,9.7,9.3,9.7,4085.0,13688.0,13135.0,False,214.0,120.0,214.0,380.0,214.0,600.0
mig_27m,28.0,100.0,3.0,1.96,,0.35,234.0,43.27,0.54,0.53,2.87,2.87,10.0,,,,,,MiG-27M,MiG-27M,USSR,Aviation,11.3,11.3,11.7,3987.0,11708.0,12714.0,False,238.0,100.0,238.0,310.0,238.0,600.0
a_6e_tram,19.0,,,0.56,,0.5,589.0,57.06,0.39,0.46,1.93,2.36,46.0,,,0.74,,1.26,A-6E_TRAM,A-6E_TRAM,USA,Aviation,10.3,10.7,10.7,2477.0,6439.0,6945.0,True,464.0,200.0,464.0,620.0,464.0,1200.0
f-4ej,67.0,50.0,1.5,1.5,0.26,0.26,226.0,65.0,1.1,1.59,0.25,0.35,242.0,,,0.58,,0.03,F-4EJ_Phantom_II,F-4EJ_Phantom_II,Japan,Aviation,11.3,11.3,11.0,3984.0,11699.0,12046.0,False,238.0,100.0,238.0,310.0,238.0,600.0
f-8e,33.0,,3.0,2.91,,,514.0,55.36,1.51,1.79,0.09,0.1,32.0,100.0,7.88,,,,F-8E,F-8E,USA,Aviation,10.3,10.7,10.3,4286.0,13576.0,13957.0,False,232.0,130.0,232.0,340.0,232.0,600.0
saab_j35xs,40.0,50.0,1.5,1.43,,,1768.0,51.65,0.72,0.86,0.16,0.19,77.0,,,2.1,,,Saab_J35XS,Saab_J35XS,Sweden,Aviation,10.7,11.3,11.3,2147.0,6206.0,5875.0,True,464.0,260.0,464.0,620.0,464.0,1200.0
f-104s_cb,16.0,50.0,1.0,2.0,,,1012.0,52.9,1.06,1.29,0.7,0.89,59.0,,4.92,1.75,,,F-104S_TAF,F-104A,USA,Aviation,9.7,9.3,9.7,4085.0,13688.0,13135.0,False,214.0,120.0,214.0,380.0,214.0,600.0
av_8b_na,45.0,100.0,22.67,4.13,3.0,0.93,322.0,62.22,0.12,0.19,3.03,5.08,85.0,100.0,5.07,1.19,13.93,2.79,AV-8B_(NA),AV-8B_(NA),USA,Aviation,11.3,11.3,11.3,2245.0,5627.0,7751.0,True,488.0,180.0,488.0,680.0,488.0,1200.0
mig_23ml,215.0,68.94,5.39,3.67,0.21,0.15,7028.0,52.36,1.13,1.3,0.1,0.1,484.0,30.43,9.13,1.04,,,MiG-23ML,MiG-23ML,USSR,Aviation,11.7,11.7,11.7,2052.0,6124.0,6119.0,True,500.0,200.0,500.0,640.0,500.0,1200.0
a_10c,11.0,100.0,1.81,5.0,4.81,9.0,267.0,56.64,1.27,1.56,3.87,4.72,59.0,50.0,2.0,1.38,4.5,2.44,A-10C,A-10C,USA,Aviation,11.3,11.3,11.3,4360.0,11048.0,15685.0,False,244.0,90.0,244.0,340.0,244.0,600.0
j_7d,,,,,,,2292.0,70.17,1.82,2.6,0.21,0.3,76.0,100.0,4.06,3.78,,,J-7D,J-7D,China,Aviation,10.7,11.0,11.0,1942.0,5812.0,5828.0,True,464.0,200.0,464.0,600.0,464.0,1200.0
f-8e_fn,,,,,,,49.0,19.57,1.96,1.93,0.2,0.32,,,,,,,F-8E(FN),F-8E(FN)_(France),France,Aviation,10.0,10.0,10.0,4286.0,13579.0,13960.0,False,232.0,130.0,232.0,340.0,232.0,600.0
kfir_canard,44.0,,2.85,1.43,1.0,0.5,1151.0,60.95,0.82,1.02,0.42,0.54,110.0,,,1.26,,,Kfir_Canard,Kfir_Canard,Israel,Aviation,11.0,11.3,11.0,2158.0,6318.0,6362.0,True,476.0,240.0,476.0,640.0,476.0,1200.0
su_24m,6.0,100.0,,,5.5,,392.0,73.21,0.07,0.08,2.6,2.44,1.0,,,,,,Су-24М,Su-24M,USSR,Aviation,11.7,11.3,11.3,4392.0,11055.0,15692.0,False,244.0,90.0,244.0,340.0,244.0,600.0
mig-21_bis_lazur,69.0,43.21,3.94,4.23,,,1396.0,50.33,1.02,1.15,0.12,0.15,161.0,50.0,7.73,1.98,,,"◊MiG-21_""Lazur-M""",MiG-21_%22Lazur-M%22_(Germany),Germany,Aviation,11.0,11.3,11.3,1980.0,5933.0,5969.0,True,476.0,220.0,476.0,620.0,476.0,1200.0
